   state_name   |             name             
 TEXAS                | Bexar County                 |    1185394
 TEXAS                | Tarrant County               |    1170103
 TEXAS                | El Paso County               |     591610
 UTAH                 | Salt Lake County             |     725956
 UTAH                 | Utah County                  |     263590
 UTAH                 | Davis County                 |     187941
 UTAH                 | Weber County                 |     158330
 UTAH                 | Cache County                 |      70183
 VERMONT              | Chittenden County            |     131761
 VERMONT              | Rutland County               |      62142
 VERMONT              | Washington County            |      54928
 VERMONT              | Windsor County               |      54055
 VERMONT              | Windham County               |      41588
 VIRGINIA             | Fairfax County               |     818584
 VIRGINIA             | Virginia Beach               |     393069
 VIRGINIA             | Norfolk                      |     261229
 VIRGINIA             | Henrico County               |     217881
 VIRGINIA             | Prince William County        |     215686
 WASHINGTON           | King County                  |    1507319
 WASHINGTON           | Pierce County                |     586203
 WASHINGTON           | Snohomish County             |     465642
 WASHINGTON           | Spokane County               |     361364
 WASHINGTON           | Clark County                 |     238053
 WEST VIRGINIA        | Kanawha County               |     207619
 WEST VIRGINIA        | Cabell County                |      96827
 WEST VIRGINIA        | Wood County                  |      86915
 WEST VIRGINIA        | Raleigh County               |      76819
 WEST VIRGINIA        | Monongalia County            |      75509
 WISCONSIN            | Milwaukee County             |     959275
 WISCONSIN            | Dane County                  |     367085
 WISCONSIN            | Waukesha County              |     304715
 WISCONSIN            | Brown County                 |     194594
 WISCONSIN            | Racine County                |     175034
 WYOMING              | Laramie County               |      73142
 WYOMING              | Natrona County               |      61226
 WYOMING              | Sweetwater County            |      38823
 WYOMING              | Fremont County               |      33662
 WYOMING              | Albany County                |      30797
(249 rows)

 zip_code |     zip_name     |               name                | distance 
----------+------------------+-----------------------------------+----------
    90001 | LOS ANGELES      | Florence-Graham                   |     0.46
    90008 | LOS ANGELES      | View Park-Windsor Hills           |     1.15
    90022 | EAST LOS ANGELES | East Los Angeles                  |     0.98
    90040 | CITY OF COMMERCE | Commerce                          |     0.08
    90047 | LOS ANGELES      | Westmont                          |     1.12
    90056 | LOS ANGELES      | Ladera Heights                    |     0.64
    90058 | VERNON           | Vernon                            |     1.47
    90059 | LOS ANGELES      | Willowbrook                       |     0.97
    90061 | LOS ANGELES      | West Athens                       |     1.76
    90069 | WEST HOLLYWOOD   | West Hollywood                    |     0.47
    90201 | BELL GARDENS     | Cudahy                            |     0.65
    90201 | BELL GARDENS     | Bell                              |     0.81
    90201 | BELL GARDENS     | Bell Gardens                      |     1.11
    90210 | BEVERLY HILLS    | Los Angeles                       |     1.54
    90210 | BEVERLY HILLS    | Beverly Hills                     |     0.81
    90220 | RANCHO DOMINGUEZ | Compton                           |     0.73
    90221 | EAST RANCHO DOMI | East Compton                      |     0.54
    90232 | CULVER CITY      | Culver City                       |     0.76
    90241 | DOWNEY           | Downey                            |     0.24
    90245 | EL SEGUNDO       | El Segundo                        |     1.20
    90247 | GARDENA          | West Compton                      |     1.52
    90247 | GARDENA          | Gardena                           |     0.51
    90250 | HOLLY PARK       | Del Aire                          |     1.26
    90250 | HOLLY PARK       | Hawthorne                         |     0.10
    90254 | HERMOSA BEACH    | Hermosa Beach                     |     1.79
    90255 | HUNTINGTON PARK  | Huntington Park                   |     0.24
    90255 | HUNTINGTON PARK  | Walnut Park                       |     0.61
    90260 | LAWNDALE         | Lawndale                          |     0.10
    90262 | LYNWOOD          | Lynwood                           |     0.03
    90265 | MALIBU           | Point Dume                        |     4.26
    90266 | MANHATTAN BEACH  | Manhattan Beach                   |     1.30
    90270 | MAYWOOD          | Maywood                           |     0.01
    90274 | PALOS VERDES EST | Rancho Palos Verdes               |     1.06
    90274 | PALOS VERDES EST | Rolling Hills Estates             |     1.56
    90274 | PALOS VERDES EST | Rolling Hills                     |     1.98
    90274 | PALOS VERDES EST | Palos Verdes Estates              |     1.73
    90278 | REDONDO BEACH    | Redondo Beach                     |     1.01
    90280 | SOUTH GATE       | South Gate                        |     0.56
    90292 | MARINA DEL REY   | Marina del Rey                    |     0.19
    90301 | INGLEWOOD        | Inglewood                         |     0.69
    90304 | LENNOX           | Lennox                            |     0.15
    90401 | SANTA MONICA     | Santa Monica                      |     0.33
    90502 | TORRANCE         | West Carson                       |     0.48
    90503 | TORRANCE         | Torrance                          |     0.86
    90506 | TORRANCE         | Alondra Park                      |     0.29
    90602 | WHITTIER         | Whittier                          |     0.71
    90603 | WHITTIER         | East La Mirada                    |     1.33
    90605 | WHITTIER         | South Whittier                    |     0.67
    90606 | LOS NIETOS       | West Whittier-Los Nietos          |     0.12
    90621 | BUENA PARK       | Buena Park                        |     1.19
    90623 | CERRITOS         | La Palma                          |     0.17
    90630 | CYPRESS          | Cypress                           |     0.16
    90631 | LA HABRA HEIGHTS | La Habra Heights                  |     2.06
    90631 | LA HABRA HEIGHTS | La Habra                          |     0.33
    90638 | LA MIRADA        | La Mirada                         |     0.32
    90640 | MONTEBELLO       | Montebello                        |     0.23
    90650 | NORWALK          | Norwalk                           |     0.10
    90660 | PICO RIVERA      | Pico Rivera                       |     0.08
    90670 | SANTA FE SPRINGS | Santa Fe Springs                  |     1.56
    90680 | STANTON          | Stanton                           |     0.28
    90701 | CERRITOS         | Cerritos                          |     0.07
    90701 | CERRITOS         | Artesia                           |     0.67
    90704 | AVALON           | Avalon                            |     1.21
    90706 | BELLFLOWER       | Bellflower                        |     0.10
    90713 | LAKEWOOD         | Lakewood                          |     0.62
